Isolate_Id,HA Segment_Id,Isolate_Name,Subtype,Lineage,Location,Host,Isolate_Submitter,Submitting_Lab,Submitting_Sample_Id,Authors,Publication,Originating_Lab,Originating_Sample_Id,Collection_Date
EPI_ISL_187672,EPI609145 | A/Hebei Shijiazhuang Yuhua/133/2011,a/hebei-shijiazhuang-yuhua/133/2011,A / H3N2,,Asia / China,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,1/12/11
EPI_ISL_187631,EPI609104 | A/Vietnam/409/2009,a/vietnam/409/2009,A / H3N2,,Asia / Vietnam,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,7/7/09
EPI_ISL_187629,EPI609102 | A/Paraguay/52/2009,a/paraguay/52/2009,A / H3N2,,South America / Paraguay,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,6/6/09
EPI_ISL_187623,EPI609096 | A/Liaoning Fuxin Haizhou/1118/2011,a/liaoning-fuxin-haizhou/1118/2011,A / H3N2,,Asia / China,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,3/22/11
EPI_ISL_187598,EPI609071 | A/Hiroshima/54/2010,a/hiroshima/54/2010,A / H3N2,,Asia / Japan / Hiroshima,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,12/15/10
EPI_ISL_187570,EPI609043 | A/Hong Kong/184/2008,a/hong-kong/184/2008,A / H3N2,,Asia / Hong Kong (SAR),Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,2/9/08
EPI_ISL_187479,EPI608941 | A/Rochester/F192/2011,a/rochester/f192/2011,A / H3N2,,North America / United States,Human,Initial import,Other Database Import,,"Topham,D.J.",,,,2/17/11
EPI_ISL_187477,EPI608939 | A/Rochester/F047/2011,a/rochester/f047/2011,A / H3N2,,North America / United States,Human,Initial import,Other Database Import,,"Topham,D.J.",,,,2/21/11
EPI_ISL_187459,EPI608921 | A/Rochester/F049/2011,a/rochester/f049/2011,A / H3N2,,North America / United States,Human,Initial import,Other Database Import,,"Topham,D.J.",,,,2/21/11
EPI_ISL_187452,EPI608914 | A/Rochester/F292/2011,a/rochester/f292/2011,A / H3N2,,North America / United States,Human,Initial import,Other Database Import,,"Topham,D.J.",,,,3/16/11
